index,inchikey,standard_smiles,scaffold,xhash,group_size
896,WEDWUMJCHQDOEH-UHFFFAOYSA-N,COc1cc2nccc(Oc3ccc(NC(=O)Nc4ccc(F)cc4F)cc3)c2cc1OC,O=C(Nc1ccccc1)Nc1ccc(Oc2ccnc3ccccc23)cc1,596b9aa2fd99a05c0d563140e438bae4e3c423cd,1
897,WERIFZUGFNVEFZ-UHFFFAOYSA-N,COc1cc(Oc2ccncc2)c2c(Nc3c(Cl)ccc4c3OCO4)ncnc2c1,c1cc(Nc2ncnc3cccc(Oc4ccncc4)c23)c2c(c1)OCO2,0dfade93537aec51761d9a264668b980dbfe7617,1
898,WFPYLUYNQSOURF-UHFFFAOYSA-N,c1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,c1ccc(Nc2nnc(Cc3ccncc3)c3ccccc23)cc1,839bcaced5d3330609703854a4ee64c63d56b937,1
899,WGRSUBGGVRCDHQ-UHFFFAOYSA-N,Cc1sc2ncnc(N)c2c1-c1ccc(NC(=O)Nc2ccc(F)cc2)cc1,O=C(Nc1ccccc1)Nc1ccc(-c2csc3ncncc23)cc1,fc4d27b50f737261ab3e5ef170a3802dedeb34fa,1
900,WGUVPQBJXJTWIH-UHFFFAOYSA-N,N#Cc1cnc(Nc2cc(CN3CCOCC3)ccn2)s1,c1cc(CN2CCOCC2)cc(Nc2nccs2)n1,1f5ea385846c7639e954ee02250355938f95425e,1
901,WHVFDPUFUPEECO-UHFFFAOYSA-N,CCc1cccc(NC(=O)Nc2ccc(-c3cccc4c3CNC4=O)cc2)c1,O=C(Nc1ccccc1)Nc1ccc(-c2cccc3c2CNC3=O)cc1,fc46dcead08bec41cc8b62159276f10815847663,1
902,WJNDBCQNUAPQCS-UHFFFAOYSA-N,C=c1c(CCC(=O)O)c(C)[nH]c1=Cc1c(O)[nH]c2cc(OC)ccc12,C=c1cc[nH]c1=Cc1c[nH]c2ccccc12,1f1727ecb7afc5f78c4f6e94638ac81ded3f600c,1
903,WJXBQYDWJOKVFV-UHFFFAOYSA-N,FC(F)(F)Oc1cccc(Nc2nnc(-c3ccncc3CCc3ccncc3)o2)c1,c1ccc(Nc2nnc(-c3ccncc3CCc3ccncc3)o2)cc1,38c2db77cf2f88076a5f0155192cbe2ca074c7d9,1
904,WKGOYAITUGNCTH-UHFFFAOYSA-N,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2C)cc1-c1ccc2nc(N(C)CCCN3CCOCC3)ncc2c1,O=C(Nc1ccccc1)c1cccc(-c2ccc3nc(NCCCN4CCOCC4)ncc3c2)c1,0dad971b2a16708696138ed20634c6026060302c,1
905,WMJDKJPJZVMOIF-UHFFFAOYSA-N,O=C(Nc1ncnc2oc(-c3cccnc3)cc12)C1CC1,O=C(Nc1ncnc2oc(-c3cccnc3)cc12)C1CC1,aa106e3e37a4816a0414c893d66c84830e0614c5,1
